MOVIE NAME,DIRECTORS LIST,PRINCIPLE CAST LIST,CAST LIST
l.a. confidential,curtis hanson,"guy pearce,kevin spacey,kim basinger,russell crowe","danny devito,david strathairn,elisabeth granli,graham beckel,james cromwell,matt mccoy,paolo seganti,paul guilfoyle,ron rifkin,sandra taylor,steve rankin"
bloody sunday,paul greengrass,"james nesbitt,nicholas farrell,tim pigott-smith","allan gildea,carmel mccallion,christopher villiers,declan duddy,edel frazer,gerard crossan,gerry hammond,james hewitt,jason stammers,joanne lindsay,mary moulds,mike edwards"
my voyage to italy,martin scorsese,martin scorsese,
phantom thread,paul thomas anderson,"bern collaco,camilla rutherford,cedric tylleman,daniel day-lewis,dave simon,dinah nicholson,elli banks,harriet leitch,ingrid sophie schram,jack gordon,jane perry,jason redshaw,joan brown,julie duck,kelly schembri,lesley manville,maryanne frost,pip phillips,richard graham,sarah lamesch,sue clark,vicky krieps","alexandra moloney,amber brabant,amy cunningham,andrew g. ogleby,calum delaney,camilla rutherford,caroline garnell,cedric tylleman,colin wigglesworth,cris haris,daniel day-lewis,darren talbot,dave simon,david charles-cully,fraser delaney,geneva corlett,gino picciano,harriet leitch,ingrid sophie schram,jane perry,jason redshaw,joseph callaghan,juliet glaves,kelly schembri,khristopher macleod,lesley manville,lujza richter,martin dew,michael gabbitas,neil broome,niki angus-campbell,paul carolan,pip phillips,rebecca mcswan,richard graham,sarah lamesch,vicky krieps"
goodfellas,martin scorsese,"joe pesci,lorraine bracco,paul sorvino,ray liotta,robert de niro","catherine scorsese,charles scorsese,chuck low,frank dileo,frank sivero,frank vincent,gina mastrogiacomo,henny youngman,mike starr,tony darrow"
wojnarowicz,chris mckim,"barry blinderman,david wojnarowicz,fran lebowitz,kiki smith,nan goldin,peter hujar,richard kern,stephen koch",
hamilton,thomas kail,"anthony ramos,chris jackson,daveed diggs,emmy raver-lampman,jasmine cephas jones,jonathan groff,leslie odom jr.,lin-manuel miranda,okieriete onaodowan,phillipa soo,renee goldsberry","ariana debose,carleigh bettiol,ephraim sykes,hope easterbrook,jon rua,neil haskell,phillipa soo,sasha hutchings,sydney james harcourt,thayne jasperson"
paths of the soul,yang zhang,,
it's such a beautiful day,don hertzfeldt,,don hertzfeldt
my perestroika,robin hessman,,
this is not a film,"jafar panahi,mojtaba mirtahmasb",,jafar panahi
the birds,alfred hitchcock,"charles mcgraw,ethel griffies,jessica tandy,joe mantell,lonny chapman,rod taylor,ruth mcdevitt,suzanne pleshette,tippi hedren,veronica cartwright","doodles weaver,john mcgovern,karl swenson,malcolm atterbury,richard deacon"
to have and have not,howard hawks,"dan seymour,dolores moran,hoagy carmichael,humphrey bogart,lauren bacall,marcel dalio,sheldon leonard,walter brennan,walter sande,walter szurovy","aldo nadi,audrey armstrong,eugene borden,joy barlow,juliette ball"
finding nemo,"andrew stanton,lee unkrich","albert brooks,alexander gould,ellen degeneres","allison janney,andrew stanton,austin pendleton,bob peterson,brad garrett,elizabeth perkins,geoffrey rush,joe ranft,nicholas bird,stephen root,vicki lewis,willem dafoe"
topsy-turvy,mike leigh,"allan corduner,jim broadbent","adam searle,dexter fletcher,francis lee,geoffrey hutchings,kate doherty,lesley manville,martin savage,roger heathcott,stefan bednarczyk,sukie smith,timothy spall,wendy nottingham,william neenan"
samurai rebellion,masaki kobayashi,"etsuko ichihara,g,isao yamagata,michiko ôtsuka,shigeru k,tatsuo matsumura,tatsuya nakadai,tatsuyoshi ehara,toshirô mifune,yôko tsukasa","emi yamada,hideo fukuhara,jun hamamura,masao mishima,takamaru sasaki"
king kong,"ernest b. schoedsack,merian c. cooper","bruce cabot,fay wray,frank reicher,james flavin,king kong,noble johnson,robert armstrong,sam hardy,steve clemente,walter ackerman","ed allen,etta mae allen,frank angel,james adamson,van alder"
gunda,victor kossakovsky,,
the incredibles,brad bird,"craig t. nelson,holly hunter,jason lee,samuel l. jackson","dominique louis,eli fucile,jean sincere,lou romano,maeve andrews,michael bird,sarah vowell,spencer fox,teddy newton,wallace shawn,wayne canney"
before sunset,richard linklater,"ethan hawke,julie delpy","albert delpy,denis evrard,diabolo,louise lemoine torres,mariane plasteig,marie pillet,rodolphe pauly,vernon dobtcheff"
being john malkovich,spike jonze,"cameron diaz,catherine keener,john cusack,john malkovich","byrne piven,eric weinstein,judith wetzell,k.k. dodds,kevin carroll,madison lanc,mary kay place,ned bellamy,octavia spencer,orson bean,reginald c. hayes"
a prophet,jacques audiard,tahar rahim,"adel bencherif,antoine basler,foued nassah,frédéric graziani,gilles cohen,hichem yacoubi,jean-emmanuel pagni,jean-philippe ricci,leïla bekhti,niels arestrup,pierre leccia,rabah loucif,reda kateb,slimane dazi"
hard to be a god,aleksei german,,"aleksandr chutko,aleksandr ilin,algimantas maceina,dmitriy vladimirov,evgeniy gerchakov,igor volkov,juris laucinsh,laura lauri,leonid yarmolnik,natalya moteva,oleg botin,pyotr merkurev,remigijus bilinskas,yuriy tsurilo"
almost famous,cameron crowe,billy crudup,"anna paquin,fairuza balk,frances mcdormand,jason lee,jimmy fallon,john fedevich,kate hudson,liz stauber,mark kozelek,michael angarano,noah taylor,patrick fugit,philip seymour hoffman,zooey deschanel"
paths of glory,stanley kubrick,"kirk douglas,ralph meeker","adolphe menjou,bert freed,christiane kubrick,emile meyer,fred bell,george macready,jerry hausner,joe turkel,kem dibbs,peter capell,richard anderson,timothy carey,wayne morris"
cold war,pawel pawlikowski,"adam ferency,adam szyszkowski,adam woronowicz,agata kulesza,borys szyc,cédric kahn,drazen sivak,giorgio rayzacher,jeanne balibar,joanna kulig,slavko sobin,tomasz kot","adam szyszkowski,aleksandra kacprzak,aloïse sauvage,anna zagórska,izabela andrzejak,martin budny,philip lenkowsky,tomasz markiewicz"
big men,rachel boynton,,
american splendor,"robert pulcini,shari springer berman","harvey pekar,paul giamatti,shari springer berman","barbara brown,cameron carter,chris ambrose,daniel tay,danny hoch,earl billings,james urbaniak,joey krajcar,josh hutcherson,larry john meyers,mary faktor,vivienne benesch"
hannah and her sisters,woody allen,"barbara hershey,dianne wiest,mia farrow,michael caine,woody allen","carrie fisher,christian clemenson,j.t. walsh,john turturro,julia louis-dreyfus,julie kavner,lewis black,lloyd nolan,maureen o'sullivan,max von sydow"
the circus,charles chaplin,"al ernest garcia,albert austin,charles chaplin,george davis,harry crocker,henry bergman,john rand,merna kennedy,steve murphy,tiny sandford","chester a. bachman,eugene barry,heinie conklin,jack bernard,stanley blystone"
the tale,jennifer fox,"chelsea alden,common,elizabeth debicki,ellen burstyn,frances conroy,isabella amara,isabelle nélisse,jason ritter,john heard,laura allen,laura dern","emily sandifer,gretchen koerner,isabella amara,isabelle nélisse,jaqueline fleming,jessica sarah flaum,madison david,matthew rauch,noah lomax,thom bishops,tina parker"
gosford park,robert altman,"maggie smith,ryan phillippe","bob balaban,camilla rutherford,charles dance,claudie blakley,geraldine somerville,james wilby,jeremy northam,kristin scott thomas,laurence fox,michael gambon,natasha wightman,tom hollander,trent ford"
dirty harry,don siegel,"andrew robinson,clint eastwood,harry guardino,john larch,john mitchum,john vernon,lyn edgington,mae mercer,reni santoni,ruth kobart","james nolan,josef sommer,maurice argent,william paterson,woodrow parfrey"
the fits,anna rose holmer,royalty hightower,"alexis neblett,antonio a.b. grant jr.,da'sean minor,inayah rodgers,lauren gibson,makyla burnam,royalty hightower"
small axe: mangrove,steve mcqueen,"gary beadle,gershwyn eustache jnr,jay simpson,jodhi may,joshua viner,letitia wright,malachi kirby,rochenda sandall,sam spruell,shaun parkes","james hillier,jon prophet,karl farrer,michelle greenidge,robert jarvis"
mad max: fury road,george miller,"charlize theron,john howard,nathan jones,nicholas hoult,riley keough,tom hardy,zoë kravitz","abbey lee,angus sampson,charlize theron,coco jack gillies,courtney eaton,debra ades,hugh keays-byrne,iota,john howard,josh helman,megan gale,mel gibson,melissa jaffer,nathan jones,nicholas hoult,richard carter,richard norton,riley keough,rosie huntington-whiteley,tom hardy,zoë kravitz"
united 93,paul greengrass,"david alan basche,liza colón-zayas","christian clemenson,denny dillon,gary commock,j.j. johnson,lorna dallas,nancy mcdoniel,opal alladin,polly adams,ray charleson,richard bekins,starla benford,susan blommaert,trish gates"
capturing the friedmans,andrew jarecki,"arnold friedman,david friedman,elaine friedman,jesse friedman","abbey boklan,anthony sgeugloi,chuck scarborough,frances galasso,howard friedman,john mcdermott,joseph onorato,judd maltin,ron georgalis,scott banks,seth friedman"
the truman show,peter weir,jim carrey,"angel schmiedt,blair slater,brian delate,don taylor,fritz dominique,heidi schanz,holland taylor,judy clayton,laura linney,natascha mcelhone,noah emmerich,peter krause,ron taylor,ted raymond"
american hustle,david o. russell,"alessandro nivola,amy adams,bradley cooper,christian bale,jennifer lawrence,jeremy renner,louis c.k.,robert de niro","adrian martinez,alessandro nivola,amy adams,anthony zerbe,bo cleary,bradley cooper,christian bale,christy scott cashman,colleen camp,david boston,dawn olivieri,elisabeth röhm,erica mcdermott,jack huston,jeremy renner,kenn medeiros,louis c.k.,matthew russell,melissa mcmeekin,michael peña,paul herman,robert de niro,saïd taghmaoui,shea whigham,thomas matthews"
paterson,jim jarmusch,"adam driver,golshifteh farahani","adam driver,barry shabaka henley,brian mccarthy,chasten harmon,dominic liriano,frank harts,golshifteh farahani,helen-jean arthur,jaden michael,jared gilman,joan kendall,johnnie mae,kacey cockett,kara hayward,luis da silva jr.,method man,nellie,owen asztalos,rizwan manji,sterling jerins,trevor parham,troy t. parham,william jackson harper"
star wars: episode iv - a new hope,george lucas,"carrie fisher,harrison ford,mark hamill","alec guinness,alex mccrindle,anthony daniels,david prowse,eddie byrne,jack purvis,james earl jones,kenny baker,peter cushing,peter mayhew,phil brown,shelagh fraser"
persepolis,"marjane satrapi,vincent paronnaud","catherine deneuve,chiara mastroianni,gena rowlands","adriana anderson,amethyste frezignac,arié elmaleh,danielle darrieux,françois jerosme,gabrielle lopes benites,jean-françois gallotte,lexie kendrick,mathias mlekuz,paul bandey,robert barr,sean penn,simon abkarian,sophie arthuys,stéphane foenkinos,tilly mandelbrot"
the age of innocence,martin scorsese,"daniel day-lewis,michelle pfeiffer,winona ryder","alec mccowen,alexis smith,geraldine chaplin,joanne woodward,jonathan pryce,mary beth hurt,michael gough,miriam margolyes,richard e. grant,robert sean leonard,siân phillips,stuart wilson"
minding the gap,bing liu,"bing liu,kiere johnson,zack mulligan",
the best of youth,marco tullio giordana,"alessio boni,jasmine trinca,luigi lo cascio","adriana asti,andrea tidona,claudio gioè,fabrizio gifuni,giovanni scifoni,lidia vitale,mario schiano,maya sansa,michele melega,paolo bonanni,sonia bergamasco,valentina carnelutti"
the overnighters,jesse moss,jay reinke,"jay reinke,keegan edwards"
the lives of others,florian henckel von donnersmarck,"martina gedeck,sebastian koch,ulrich mühe","bastian trost,charly hübner,hans-uwe bauer,herbert knaup,marie gruber,martin brambach,matthias brenner,thomas thieme,ulrich tukur,volker michalowski,volkmar kleinert,werner daehn"
two-lane blacktop,monte hellman,"bill keller,david drake,dennis wilson,harry dean stanton,jaclyn hellman,james taylor,laurie bird,richard ruth,rudy wurlitzer,warren oates","alan vint,charles moore,don samuels,tom green,w.h. harrison"
house of flying daggers,yimou zhang,"andy lau,takeshi kaneshiro,ziyi zhang","dandan song,dong liu,hongfei zhao,hongwei zhao,jiusheng wang,jun guo,liping tian,qi zi,shu zhang,xuedong qu,yongxin wang,zhengyong zhang"
63 up,michael apted,"andrew brackfield,bruce balden,charles furneaux,jacqueline bassett,john brisby,lynn johnson,neil hughes,nicholas hitchon,peter davies,susan sullivan,suzanne dewey,tony walker","andrew brackfield,jacqueline bassett,john brisby,neil hughes,paul kligerman,peter davies,susan sullivan,symon basterfield"
treasure island,byron haskin,"basil sydney,bobby driscoll,denis o'dea,finlay currie,geoffrey keen,geoffrey wilkinson,john laurie,ralph truman,robert newton,walter fitzgerald","andrew blackett,david davies,francis de wolff,john gregson,william devlin"
lost in translation,sofia coppola,"bill murray,giovanni ribisi,scarlett johansson","akiko takeshita,akira yamaguchi,catherine lambert,diamond yukai,françois du bois,gregory pekar,kazuko shibata,kazuyoshi minamimagoe,richard allen,ryuichiro baba,take,tim leffman"
blue is the warmest color,abdel kechiche,"ad,alma jodorowsky,anne loiret,aurélien recoing,benjamin siksou,beno,catherine salée,jeremie laheurte,léa seydoux,mona walravens,salim kechiouche,sandor funtek","ad,alma jodorowsky,anne loiret,aurelie lemanceau,aurélien recoing,baya rehaz,benjamin siksou,beno,catherine salée,fanny maurin,jeremie laheurte,karim saidi,léa seydoux,maelys cabezon,mona walravens,salim kechiouche,samir bella,sandor funtek"
searching for bobby fischer,steven zaillian,"ben kingsley,david paymer,hal scardino,joan allen,joe mantegna,laurence fishburne,max pomeranc,michael nirenberg,robert stephens,vasek simek","anthony heald,dan hedaya,laura linney,steven randazzo,william h. macy"
assault on precinct 13,john carpenter,"austin stoker,darwin joston,laurie zimmer","alan koss,charles cyphers,frank doubleday,gilbert de la pena,henry brandon,john j. fox,kim richards,marc ross,martin west,nancy kyes,peter bruni,tony burton"
man on wire,james marsh,philippe petit,"aaron haskell,alan welner,annie allix,ardis campbell,barry greenhouse,david demato,david forman,guy f. tozzoli,jean françois heckel,jean-louis blondeau,jim moore,mark lewis,paul mcgill,shawn dempewolff-barrett"
for sama,"edward watts,waad al-khateab","hamza al-khateab,sama al-khateab,waad al-khateab",
force of evil,abraham polonsky,"barry kelley,beatrice pearson,howland chamberlain,john garfield,marie windsor,paul fix,paul mcvey,roy roberts,stanley prager,thomas gomez","georgia backus,jessie arnold,margaret bert,murray alper,sam ash"
still walking,hirokazu koreeda,,"haruko kato,hiroshi abe,hotaru nomoto,kazuya takahashi,kirin kiki,ryôga hayashi,shohei tanaka,susumu terajima,yoshio harada,you,yui natsukawa"
gangs of wasseypur,anurag kashyap,,"aditya kumar,huma qureshi,jaideep ahlawat,jameel khan,manoj bajpai,nowaz,piyush mishra,raj kumar yadav,richa chadda,sankalp acharekar,satyakam anand,tigmanshu dhulia,vineet singh,vipin sharma,zeishan quadri"
the last detail,hal ashby,"jack nicholson,randy quaid","carol kane,clifton james,derek mcgrath,don mcgovern,gerry salsberg,jim henshaw,kathleen miller,luana anders,michael chapman,michael moriarty,nancy allen,otis young,pat hamilton"
when the levees broke: a requiem in four acts,spike lee,"darleen asevedo,gralen bryant banks,harry belafonte,jay asevedo,john barry,lee arnold,robert bea,shelton shakespear alexander,terence blanchard,wilhelmina blanchard","douglas brinkley,joseph bruno,karen carter,kathleen blanco,louis cataldie"
borat: cultural learnings of america for make benefit glorious nation of kazakhstan,larry charles,"ken davitian,sacha baron cohen","alan keyes,bob barr,jean-pierre parent,luenell,mitchell falk,pamela anderson"
minari,lee isaac chung,"alan s. kim,darryl cox,eric starkey,esther moon,noel cho,scott haze,steven yeun,will patton,ye-ri han,yeo-jong yun","ben hall,jacob m wade,james carroll,jenny phagan,tina parker"
barry lyndon,stanley kubrick,"marisa berenson,ryan o'neal","andré morell,arthur o'sullivan,diana körner,frank middlemass,gay hamilton,godfrey quigley,hardy krüger,leonard rossiter,marie kean,murray melvin,patrick magee,philip stone,steven berkoff"
the farewell,lulu wang,"aoi mizuhara,awkwafina,becca khalil,diana lin,diane dehn,gil perez-abraham,han chen,hong lin,hong lu,ines laimins,jim liu,shuzhen zhou,tzi ma,x mayo,yang xuejian,yongbo jiang,zhao shuzhen","aoi mizuhara,becca khalil,diane dehn,han chen,hong lu,hongli liu,ines laimins,jing zhang,jinhang liu,shimin zhang,x mayo,xiang li,yongbo jiang,zhao shuzhen"
elle,paul verhoeven,"anne consigny,charles berling,isabelle huppert,laurent lafitte","alice isaaz,anne consigny,arthur mazet,charles berling,christian berkel,hugo conzelmann,isabelle huppert,jean douchet,jean-noël martin,jonas bloquet,judith magre,laurent lafitte,lucas prisor,nicolas beaucaire,olivia gotanègre,raphaël lenglet,stéphane bak,vimala pons,virginie efira"
the tale of the princess kaguya,isao takahata,"chloë grace moretz,james caan,james marsden,mary steenburgen","aki asakura,beau bridges,brian leone,caitlyn leone,daniel dae kim,darren criss,dean cain,emily bridges,george segal,hikaru ijûin,hynden walch,isao hashizume,james caan,john cho,kengo kôra,lucy liu,michael leone,oliver platt,takaya kamikawa,takeo chii,yukiji asaoka"
uncertain,"anna sandilands,ewan mcnicol",,
captain blood,michael curtiz,"basil rathbone,donald meek,errol flynn,guy kibbee,henry stephenson,hobart cavanaugh,lionel atwill,olivia de havilland,robert barrat,ross alexander","david torrence,forrester harvey,frank mcglynn sr.,holmes herbert,jessie ralph"
"two days, one night","jean-pierre dardenne,luc dardenne","alain eloy,batiste sornin,catherine salée,fabrizio rongione,lara persain,marion cotillard,pili groyne,simon caudry","alain eloy,anette niro,batiste sornin,catherine salée,christelle cornil,christelle delbrouck,fabienne sciascia,fabrizio rongione,hassaba halibi,hicham slaoui,lara persain,laurent caron,marion cotillard,myriem akeddiou,olivier gourmet,philippe jeusette,pili groyne,rania mellouli,simon caudry,timur magomedgadzhiev,yohan zimmer"
national gallery,frederick wiseman,,
eighth grade,bo burnham,"catherine oliviere,daniel zolghadri,deborah unger,elsie fisher,emily robinson,frank deal,fred hechinger,gerald w. jones,greg crowe,imani lewis,jake ryan,josh hamilton,josh hamilton,luke prael,marguerite stimpson,missy yager,natalie carter,nora mullins","castor feinberg,catherine oliviere,deborah unger,faith kelly,frank deal,fred hechinger,gerald w. jones,greg crowe,jalesia martinez,kaileen quinones,kevin r. free,luke prael,marguerite stimpson,missy yager,natalie carter,shacha temirov,thomas j o'reilly"
a star is born,george cukor,"amanda blake,charles bickford,hazel shermet,irving bacon,jack carson,james brown,james mason,judy garland,lucy marlow,tommy noonan","david armstrong,laurindo almeida,leon alton,phil arnold,rudolph anders"
no end in sight,charles ferguson,,"ali fadhil,campbell scott,colin powell,dick cheney,donald rumsfeld,feisal istrabadi,george tenet,gerald burke,james bamford,marc garlasco,omar fekeiki,paul hughes,paul wolfowitz,robert hutchings,samantha power"
it's a wonderful life,frank capra,"donna reed,james stewart","beulah bondi,frank albertson,frank faylen,gloria grahame,h.b. warner,henry travers,lionel barrymore,mary treen,samuel s. hinds,thomas mitchell,todd karns,virginia patton,ward bond"
the madness of king george,nicholas hytner,"amanda donohoe,cassandra halliburton,charlotte curley,eve camden,helen mirren,joanna hall,peter bride-kirk,rupert graves,thomas copeland","david leon,julian rhind-tutt,martin julier,natalie palys,rupert everett,russell martin"
phoenix,christian petzold,"felix römer,imogen kogge,michael maertens,nina hoss,nina kunzendorf,ronald zehrfeld,trystan pütter,uwe preuss","claudia geisler,daniela holtz,eva bay,felix römer,imogen kogge,jeff burrell,kirsten block,max hopp,megan gay,michael maertens,nikola kastner,nina hoss,nina kunzendorf,ronald zehrfeld,sofia exss,trystan pütter,uwe preuss,valerie koch"
goodbye solo,ramin bahrani,"red west,souleymane sy savane","alexandra dimopoulos,carmen leyva,chris greene,diana franco galindo,evelia garcia,jamill 'peaches' fowler,jim babel,lane 'roc' williams,lasheka brown,mamadou lam,neill fleeman,peter n. anyieth,sarah s. brooks"
western,"bill ross iv,turner ross",,"brylyn wall,chad foster,martín wall"
stop making sense,jonathan demme,david byrne,"alex weir,bernie worrell,chris frantz,ednah holt,jerry harrison,lynn mabry,steven scales,tina weymouth"
deep red,dario argento,"aldo bonamano,clara calamai,daria nicolodi,david hemmings,eros pagni,gabriele lavia,giuliana calandra,glauco mauri,macha méril,piero mazzinghi","dante fioretti,geraldine hooper,jacopo mariani,liana del balzo,vittorio fanfoni"
downhill racer,michael ritchie,"camilla sparv,dabney coleman,gene hackman,jerry dexter,jim mcmullan,karl michael vogler,kathleen crowley,kenneth kirk,oren stevens,robert redford","carole carle,joe jay jalbert,rip mcmanus,tom j. kirk,walter stroud"
alien,ridley scott,"john hurt,sigourney weaver,tom skerritt","bolaji badejo,eddie powell,harry dean stanton,helen horton,ian holm,veronica cartwright,yaphet kotto"
columbus,kogonada,"alphaeus green jr.,caitlin ewald,erin allegretti,haley lu richardson,jim dougherty,john cho,michelle forbes,parker posey,rory culkin,wynn reichert","alphaeus green jr.,caitlin ewald,erin allegretti,haley lu richardson,jim dougherty,john cho,lindsey shope,michelle forbes,parker posey,reen vogel,rory culkin,rosalyn r. ross,shani salyers stiles,william willet,wynn reichert"
first cow,kelly reichardt,"alia shawkat,clayton nemrow,dylan smith,ewen bremner,gary farmer,jeb berrier,john keating,john magaro,lily gladstone,manuel rodriguez,orion lee,patrick d. green,rené auberjonois,scott shepherd,ted rooney,toby jones,todd a. robinson","clayton nemrow,dylan smith,jared kasowski,jeb berrier,john keating,kevin michael moore,manuel rodriguez,mitchell saddleback,orion lee,patrick d. green,phelan davis,t. dan hopkins,todd a. robinson"
night of the living dead,george a. romero,"duane jones,judith o'dea","a.c. mcdonald,bill cardille,charles craig,frank doak,george kosana,judith ridley,karl hardman,keith wayne,kyra schon,marilyn eastman,mark ricci,s. william hinzman,samuel r. solito"
the artist,michel hazanavicius,,"basil hoffman,beau nelson,ben kurland,bérénice bejo,beth grant,bitsie tulloch,james cromwell,jean dujardin,jen lilley,joel murray,john goodman,missi pyle,patrick mapel,penelope ann miller,stuart pankin"
yankee doodle dandy,michael curtiz,"frances langford,george barbier,george tobias,irene manning,james cagney,jeanne cagney,joan leslie,richard whorf,rosemary decamp,walter huston","douglas croft,eddie foy jr.,minor watson,s.z. sakall,walter catlett"
the human voice,pedro almodóvar,tilda swinton,
raging bull,martin scorsese,"cathy moriarty,joe pesci,robert de niro","bill hanrahan,charles scorsese,don dunphy,frank adonis,frank topham,frank vincent,joseph bono,lori anne flax,mario gallo,nicholas colasanto,rita bennett,theresa saldana"
eternal sunshine of the spotless mind,michel gondry,"jim carrey,kate winslet,tom wilkinson","amir ali said,brian price,david cross,debbon ayer,elijah wood,gerry robert byrne,jane adams,kirsten dunst,mark ruffalo,paulie litt,ryan whitney,thomas jay ryan"
the piano,jane campion,"harvey keitel,holly hunter,sam neill","anna paquin,bruce allpress,carla rupuha,cliff curtis,geneviève lemon,ian mune,kerry walker,mahina tunui,pete smith,peter dennett,te whatanui skipwith,tungia baker"
of mice and men,lewis milestone,"betty field,bob steele,burgess meredith,charles bickford,granville bates,leigh whipper,lon chaney jr.,noah beery jr.,oscar o'shea,roman bohnen","baldwin cooke,helen lynd,john beach,silver tip baker,whitney de rahm"
dead souls,bing wang,,
zama,lucrecia martel,"carlos defeo,daniel giménez cacho,daniel veronese,jorge román,juan minujín,lola dueñas,mariana nunes,matheus nachtergaele,nahuel cano,rafael spregelburd",camila sosa
dick johnson is dead,kirsten johnson,"ana hoffman,dick johnson,kirsten johnson,vasthy mompoint",
high noon,fred zinnemann,"eve mcveagh,gary cooper,grace kelly,harry morgan,ian macdonald,katy jurado,lloyd bridges,lon chaney jr.,otto kruger,thomas mitchell","eve mcveagh,harry morgan,harry shannon,ian macdonald,katy jurado,lee van cleef,lloyd bridges,lon chaney jr.,morgan farley,otto kruger,robert j. wilke,sheb wooley,thomas mitchell"
rebel without a cause,nicholas ray,"ann doran,corey allen,dennis hopper,edward platt,james dean,jim backus,natalie wood,rochelle hudson,sal mineo,william hopper","beverly long,ian wolfe,marietta canty,steffi sidney,virginia brissac"
letters from iwo jima,clint eastwood,ken watanabe,"eijiro ozaki,hiroshi watanabe,kazunari ninomiya,luke eberl,nae,nobumasa sakagami,ryo kase,shido nakamura,sonny saito,steve santa sekiyoshi,takashi yamaguchi,takumi bando,tsuyoshi ihara,yoshi ando,yuki matsuzaki"
the seventh continent (1989),michael haneke,"birgit doll,dieter berner,elisabeth rath,georg friedrich,georges kern,leni tanzer,meat loaf,robert dietl,silvia fenz,udo samel",jennifer rush
a woman under the influence,john cassavetes,"christina grisanti,fred draper,gena rowlands,george dunn,katherine cassavetes,lady rowlands,mario gallo,matthew cassel,matthew labyorteaux,peter falk","angelo grisanti,charles horvath,eddie shaw,james joyce,john finnegan"
whiplash,damien chazelle,"j.k. simmons,melissa benoist,miles teller,paul reiser","adrian burks,april grace,austin stowell,c.j. vana,calvin c. winbush,charlie ian,chris mulkey,dakota lupo,damon gupton,j.k. simmons,jayson blair,jesse mitchell,jocelyn ayanna,kavita patil,keenan henson,kofi siriboe,marcus henderson,max kasch,melissa benoist,michael d. cohen,miles teller,nate lang,paul reiser,rogelio douglas jr.,suanne spoke,tarik lowe,tian wang,tyler kimball"
once,john carney,"glen hansard,markéta irglová","alaistair foley,bill hodnett,danuse ktrestova,darren healy,geoff minogue,gerard hendrick,hugh walsh,krzysztos tlotka,mal whyte,marcella plunkett,niall cleary,tomek glowacki,wiltold owski"
foreign correspondent,alfred hitchcock,"joel mccrea,laraine day","albert bassermann,charles halton,charles wagenheim,eddie conrad,edmund gwenn,eduardo ciannelli,frances carson,george sanders,harry davenport,herbert marshall,ian wolfe,martin kosleck,robert benchley"
the arbor,clio barnard,,"andrea dunbar,andrew dunbar,christine bottomley,david dunbar,george costigan,jimi mistry,jonathan jaynes,kate rutter,lorraine dunbar,matthew mcnulty,monica dolan,natalie gavin,neil dudgeon,pamela dunbar,robert emms"
long day's journey into night,gan bi,"chun-hao tuan,feiyang luo,hong-chi lee,jue huang,li meng,lixun xie,meihuizi zeng,sylvia chang,wei tang,yanmin bi,yongzhong chen","jian jun ding,kailong jiang,ming dao,xi qi,zezhi long"
richard iii,laurence olivier,"cedric hardwicke,claire bloom,john gielgud,laurence olivier,mary kerridge,nicholas hannen,pamela brown,paul huson,ralph richardson,stewart allen","andrew cruickshank,clive morton,norman fisher,russell thorndike,wallace bosco"
democrats,camilla nielsson,,paul mangwana
the lion king,"rob minkoff,roger allers","james earl jones,jeremy irons,matthew broderick,whoopi goldberg","cheech marin,ernie sabella,jim cummings,jonathan taylor thomas,madge sinclair,moira kelly,nathan lane,niketa calame,robert guillaume,rowan atkinson,zoe leader"
4 little girls,spike lee,"chris mcnair,fred shuttlesworth,howell raines,maxine mcnair,wamo reed robertson,wyatt tee walker","alpha robertson,arthur hanes jr.,carole c. smitherman,carolyn lee brown,dianne braddock,florence terrell,harold mcnair,helen pegues,queen nunn"
wild strawberries,ingmar bergman,"bibi andersson,björn bjelfvenstam,folke sundquist,gertrud fridh,gunnar björnstrand,gunnel broström,ingrid thulin,jullan kindahl,naima wifstrand,victor sjöström","åke fridell,gunnar sjöberg,max von sydow,sif ruud,yngve nordwall"
ghost world,terry zwigoff,"steve buscemi,thora birch","bob balaban,brad renfro,brian george,charles c. stevenson jr.,dave sheridan,debra azar,illeana douglas,pat healy,rini bell,scarlett johansson,stacey travis,t.j. thyne,tom mcgowan"
crime + punishment,stephen t. maing,"manuel 'manny' gomez,rukia lumumba,sandy gonzales",
the seventh seal,ingmar bergman,"bengt ekerot,bertil anderberg,bibi andersson,gunnar björnstrand,gunnel lindblom,inga gill,inga landgré,maud hansson,max von sydow,nils poppe","åke fridell,anders ek,erik strandmark,gunnar olsson,siv aleros"
y tu mamá también,alfonso cuarón,"gael garcía bernal,maribel verdú","ana lópez mercado,andrés almeida,arturo ríos,daniel giménez cacho,diana bracho,diego luna,emilio echevarría,giselle audirac,juan carlos remolina,liboria rodríguez,maría aura,marta aura,nathan grinberg,verónica langer"
